左槽,防具三件套效果,五件套效果,首饰三件套效果,上衣,下装,护肩,腰带,鞋子,手镯,项链,戒指,武器,武器类型,最终力智,最终力智系数,最终双攻系数,最终面板,最终白字,最终黄字,最终属强,最终技工,装备技工,最终暴击率,最终爆伤,最终暴击期望,最终强度,damage
名将兵书,失明套二件套效果,失明套五件套效果,属强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3842.37,1.07,1.65,89455.9343,2.322909091,1.75,241,1.770246,1.530246,0.712097378,1.739,1.526239963,2058799.743,7405510396
圣灵之咒,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.2,78189.16608,1.9575,1.67,319,1.6497,1.4097,0.739550562,1.84,1.621222472,1674859.947,7369497619
名将兵书,失明套二件套效果,失明套五件套效果,时空三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,4057.83,1.13,1.65,94165.71754,2.05,1.85,231,1.7888571,1.5488571,0.760786517,1.739,1.562221236,2045928.521,7359212563
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,4883.76,1.36,1.67,113580.1276,1.59,2.02,231,1.69998825,1.45998825,0.8182397,1.739,1.604679139,2040040.707,7338034075
名将兵书,深海熔岩套二件套效果,深海熔岩套五件套效果,火强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4955.58,1.38,1.45,99997.10957,1.846818182,1.69,314,1.605855,1.365855,0.769550562,1.879,1.676434944,2039435.159,7335855916
圣灵之咒,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3842.37,1.07,1.65,89455.9343,2.336363636,1.82,244,1.770246,1.530246,0.682097378,1.84,1.572961798,2233922.378,7330347321
名将兵书,失明套二件套效果,失明套五件套效果,属强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4919.67,1.37,1.25,85609.7352,2.322909091,1.73,241,1.770246,1.530246,0.807003745,1.739,1.596375768,2037269.407,7328065697
名将兵书,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,5027.4,1.4,1.22,85296.29414,2.080227273,1.76,279,1.6386,1.3986,0.769550562,1.979,1.75339,2035086.893,7320215185
圣灵之咒,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3591,1,1.6,81416.9088,1.9575,1.69,319,1.6497,1.4097,0.644644195,1.84,1.541501124,1678100.586,7299486085
圣灵之咒,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4919.67,1.37,1.25,85609.7352,2.336363636,1.8,244,1.770246,1.530246,0.777003745,1.84,1.652683146,2221542.452,7289724083
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3591,1,2.07,105333.1258,1.676363636,2.03,244,1.682445,1.442445,0.674644195,1.879,1.593012247,2026210.361,7288286267
名将兵书,变色龙套二件套效果,变色龙套五件套效果,火强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,4668.3,1.3,1.55,100994.3395,1.836363636,1.96,244,1.5609,1.3209,0.787003745,1.879,1.691776292,2024534.136,7282256881
手套,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.2,78189.16608,1.974727273,1.58,316,1.6497,1.4097,0.739550562,1.95,1.702573034,1669412.366,7282005080
手套,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3591,1,1.6,81416.9088,1.974727273,1.6,316,1.6497,1.4097,0.644644195,1.95,1.612411985,1667112.151,7276488621
手套,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3591,1,1.6,81416.9088,1.7575,1.69,319,1.6497,1.4097,0.644644195,2.09,1.702662172,1664164.272,7264936199
名将兵书,失明套二件套效果,失明套五件套效果,刺杀三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,3950.1,1.1,1.65,91810.82592,1.82,1.85,205,2.059752,1.819752,0.760786517,1.839,1.638299888,2015169.561,7248572468
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3591,1,2.07,105333.1258,1.862909091,1.94,241,1.682445,1.442445,0.674644195,1.739,1.49856206,2011185.909,7234243256
名将兵书,坚强套二件套效果,坚强套五件套效果,属强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3950.1,1.1,1.62,90141.53818,2.281090909,1.69,276,1.6386,1.3986,0.674644195,1.839,1.566026479,2010413.122,7231463539
手套,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.67,84978.89856,2.225090909,1.81,268,1.682445,1.442445,0.664644195,2.09,1.724462172,2202566.965,7227458305
手套,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.2,78189.16608,1.7575,1.67,319,1.6497,1.4097,0.739550562,2.09,1.806110112,1675227.019,7224427960
手套,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,4883.76,1.36,1.67,113580.1276,1.59,2,231,1.69998825,1.45998825,0.7882397,1.95,1.748827715,2201285.031,7223251796
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,3591,1,1.67,84978.89856,2.418181818,1.74,265,1.682445,1.442445,0.694644195,1.739,1.51334206,2006995.199,7219169257
圣灵之咒,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,4883.76,1.36,1.67,113580.1276,1.79,2,231,1.69998825,1.45998825,0.7882397,1.7,1.55176779,2198932.473,7215532158
手套,失明套二件套效果,失明套五件套效果,属强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3842.37,1.07,1.65,89455.9343,2.322909091,1.73,241,1.770246,1.530246,0.682097378,1.95,1.647992509,2197629.987,7211258207
名将兵书,深海熔岩套二件套效果,深海熔岩套五件套效果,属强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4955.58,1.38,1.45,99997.10957,2.060636364,1.6,311,1.605855,1.365855,0.769550562,1.739,1.568697865,2004593.247,7210529427
圣灵之咒,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3591,1,1.6,81416.9088,2.174727273,1.6,316,1.6497,1.4097,0.644644195,1.7,1.451250936,1652452.517,7206742328
名将兵书,失明套二件套效果,失明套五件套效果,时空三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,5135.13,1.43,1.25,89177.7528,2.05,1.83,231,1.7888571,1.5488571,0.855692884,1.739,1.632357041,2002655.013,7203557592
手套,失明套二件套效果,失明套五件套效果,时空三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,4057.83,1.13,1.65,94165.71754,2.05,1.83,231,1.7888571,1.5488571,0.730786517,1.95,1.694247191,2194846.008,7202122915
手套,失明套二件套效果,失明套五件套效果,属强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4919.67,1.37,1.25,85609.7352,2.322909091,1.71,241,1.770246,1.530246,0.777003745,1.95,1.738153558,2192559.995,7194621640
手套,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.67,84978.89856,2.268727273,1.81,256,1.682445,1.442445,0.644644195,2.09,1.702662172,2162846.01,7183113964
名将兵书,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3842.37,1.07,1.25,67769.6472,2.136363636,2.14,244,1.770246,1.530246,0.712097378,1.879,1.625933596,1880857.535,7178993215
尼威尔徽章,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.676363636,1.99,244,1.692445,1.442445,0.749550562,1.853,1.639366629,2124169.01,7170648667
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,宝瓶守护者,手炮,3591,1,1.67,84978.89856,2.4565,1.74,253,1.682445,1.442445,0.674644195,1.739,1.49856206,1968934.112,7162664416
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3591,1,1.67,84978.89856,1.676363636,2.33,244,1.682445,1.442445,0.674644195,1.879,1.593012247,1876249.289,7161404125
名将兵书,失明套二件套效果,失明套五件套效果,刺杀三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,5027.4,1.4,1.25,87393.744,1.82,1.83,205,2.059752,1.819752,0.855692884,1.839,1.71792633,1989704.313,7156973874
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,铁甲炮,手炮,3591,1,1.67,84978.89856,1.862909091,2.24,241,1.682445,1.442445,0.674644195,1.739,1.49856206,1873460.891,7150761169
圣灵之咒,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.2,78189.16608,2.174727273,1.58,316,1.6497,1.4097,0.739550562,1.7,1.517685393,1638842.835,7144970817
名将兵书,深海熔岩套二件套效果,深海熔岩套五件套效果,火强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3878.28,1.08,1.85,101179.1889,1.846818182,1.71,314,1.605855,1.365855,0.674644195,1.879,1.593012247,1984063.029,7136682155
圣灵之咒,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3591,1,2.07,105333.1258,1.876363636,2.01,244,1.682445,1.442445,0.644644195,1.84,1.541501124,2172991.655,7130410487
手套,深海熔岩套二件套效果,深海熔岩套五件套效果,火强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4955.58,1.38,1.45,99997.10957,1.846818182,1.67,314,1.605855,1.365855,0.739550562,2.09,1.806110112,2171186.791,7124488044
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,3806.46,1.06,1.67,89745.77007,2.108181818,1.84,255,1.69998825,1.45998825,0.743333333,1.739,1.549323333,1979697.273,7120978516
圣灵之咒,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.67,84978.89856,2.425090909,1.81,268,1.682445,1.442445,0.664644195,1.84,1.558301124,2169237.467,7118091573
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,时空三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,3806.46,1.06,1.67,89745.77007,2.158227273,1.84,243,1.69998825,1.45998825,0.723333333,1.739,1.534543333,1956646.518,7117964131
手套,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3950.1,1.1,1.62,90141.53818,2.080227273,1.76,279,1.6386,1.3986,0.644644195,2.19,1.767126592,2167538.877,7112517855
名将兵书,变色龙套二件套效果,变色龙套五件套效果,属强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,4668.3,1.3,1.55,100994.3395,2.022909091,1.87,241,1.5609,1.3209,0.787003745,1.739,1.581595768,1976349.851,7108937826
名将兵书,坚强套二件套效果,坚强套五件套效果,属强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,5027.4,1.4,1.22,85296.29414,2.281090909,1.67,276,1.6386,1.3986,0.769550562,1.839,1.645652921,1975419.875,7105592698
手套,失明套二件套效果,失明套五件套效果,时空三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,5135.13,1.43,1.25,89177.7528,2.05,1.81,231,1.7888571,1.5488571,0.825692884,1.95,1.78440824,2165273.149,7105083139
名将兵书,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.2,61062.6816,2.441909091,1.51,331,1.6497,1.4097,0.674644195,1.879,1.593012247,1481956.032,7098015115
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3591,1,1.67,84978.89856,2.011818182,1.96,258,1.682445,1.442445,0.694644195,1.879,1.610592247,1972820.598,7096243089
手套,变色龙套二件套效果,变色龙套五件套效果,火强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,4668.3,1.3,1.55,100994.3395,1.836363636,1.94,244,1.5609,1.3209,0.757003745,2.09,1.825134082,2161835.295,7093802236
时间怀表,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.676363636,2.06,244,1.682445,1.442445,0.739550562,1.84,1.621222472,2161703.117,7093368508
圣灵之咒,深海熔岩套二件套效果,深海熔岩套五件套效果,火强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4955.58,1.38,1.45,99997.10957,2.046818182,1.67,314,1.605855,1.365855,0.739550562,1.84,1.621222472,2159984.842,7087730198
圣灵之咒,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3950.1,1.1,1.62,90141.53818,2.280227273,1.76,279,1.6386,1.3986,0.644644195,1.94,1.605965543,2159249.395,7085316915
手套,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,5027.4,1.4,1.22,85296.29414,2.080227273,1.74,279,1.6386,1.3986,0.739550562,2.19,1.880065169,2157316.751,7078975179
圣灵之咒,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.67,84978.89856,2.468727273,1.81,256,1.682445,1.442445,0.644644195,1.84,1.541501124,2130746.486,7076506957
尼威尔徽章,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.862909091,1.9,241,1.692445,1.442445,0.749550562,1.713,1.534429551,2095882.019,7075159054
名将兵书,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.2,61062.6816,2.388045455,1.51,343,1.6497,1.4097,0.694644195,1.879,1.610592247,1497172.018,7069460670
名将兵书,坚强套二件套效果,坚强套五件套效果,时空三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,4165.56,1.16,1.62,94765.68899,1.97,1.79,266,1.65561,1.41561,0.723333333,1.839,1.606876667,1963923.448,7064240007
名将兵书,深海熔岩套二件套效果,深海熔岩套五件套效果,属强三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3878.28,1.08,1.85,101179.1889,2.060636364,1.62,311,1.605855,1.365855,0.674644195,1.739,1.49856206,1961825.924,7056695205
